	display_name	start_date	end_date	sw1_code	sw1_name	sw2_code	sw2_name	sw3_code	sw3_name
002808.XSHE	恒久科技	2016-08-12	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
002962.XSHE	五方光电	2019-09-17	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
300566.XSHE	激智科技	2016-11-15	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
300691.XSHE	联合光电	2017-08-11	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
300701.XSHE	森霸传感	2017-09-15	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
300790.XSHE	宇瞳光学	2019-09-20	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
603297.XSHG	永新光学	2018-09-10	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
605118.XSHG	力鼎光电	2020-07-30	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
688010.XSHG	福光股份	2019-07-22	2200-01-01	801080	电子I	801084	光学光电子II	850833	光学元件III
688127.XSHG	蓝特光学	2020-09-21 00:00:00	2200-01-01 00:00:00	801080	电子I	801084	光学光电子II	850833	光学元件III
000020.XSHE	深华发A	1992-04-28	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
000021.XSHE	深科技	1994-02-02	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
000049.XSHE	德赛电池	1995-03-20	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002045.XSHE	国光电器	2005-05-23	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002236.XSHE	大华股份	2008-05-20	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002241.XSHE	歌尔股份	2008-05-22	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002351.XSHE	漫步者	2010-02-05	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002369.XSHE	卓翼科技	2010-03-16	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002415.XSHE	海康威视	2010-05-28	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002655.XSHE	共达电声	2012-02-17	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002888.XSHE	惠威科技	2017-07-21	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002970.XSHE	锐明技术	2019-12-17	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
300735.XSHE	光弘科技	2017-12-29	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
300793.XSHE	佳禾智能	2019-10-18	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
300857.XSHE	协创数据	2020-07-27	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
600478.XSHG	科力远	2003-09-18	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
601138.XSHG	工业富联	2018-06-08	2200-01-01	801080	电子I	801085	电子制造II	850851	电子系统组装III
002055.XSHE	得润电子	2006-07-25	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002139.XSHE	拓邦股份	2007-06-29	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002402.XSHE	和而泰	2010-05-11	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002475.XSHE	立讯精密	2010-09-15	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002547.XSHE	春兴精工	2011-02-18	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002600.XSHE	领益智造	2011-07-15	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002635.XSHE	安洁科技	2011-11-25	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002660.XSHE	茂硕电源	2012-03-16	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002681.XSHE	*ST奋达	2012-06-05	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002782.XSHE	可立克	2015-12-22	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002850.XSHE	科达利	2017-03-02	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002855.XSHE	捷荣技术	2017-03-21	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002859.XSHE	洁美科技	2017-04-07	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002861.XSHE	瀛通通讯	2017-04-13	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002866.XSHE	传艺科技	2017-04-26	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002881.XSHE	美格智能	2017-06-22	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002885.XSHE	京泉华	2017-06-27	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002922.XSHE	伊戈尔	2017-12-29	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002925.XSHE	盈趣科技	2018-01-15	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002937.XSHE	兴瑞科技	2018-09-26	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002947.XSHE	恒铭达	2019-02-01	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002976.XSHE	瑞玛工业	2020-03-06	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
002981.XSHE	朝阳科技	2020-04-17	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300083.XSHE	创世纪	2010-05-20	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300115.XSHE	长盈精密	2010-09-02	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300131.XSHE	英唐智控	2010-10-19	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300136.XSHE	信维通信	2010-11-05	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300207.XSHE	欣旺达	2011-04-21	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300227.XSHE	光韵达	2011-06-08	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300256.XSHE	星星科技	2011-08-19	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300279.XSHE	和晶科技	2011-12-29	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300322.XSHE	硕贝德	2012-06-08	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300433.XSHE	蓝思科技	2015-03-18	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300543.XSHE	朗科智能	2016-09-08	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300602.XSHE	飞荣达	2017-01-26	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300647.XSHE	超频三	2017-05-03	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300679.XSHE	电连技术	2017-07-31	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300684.XSHE	中石科技	2017-12-27	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300686.XSHE	智动力	2017-08-04	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300709.XSHE	精研科技	2017-10-19	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300787.XSHE	海能实业	2019-08-15	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300822.XSHE	贝仕达克	2020-03-13	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
300843.XSHE	胜蓝股份	2020-07-02	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
600203.XSHG	福日电子	1999-05-14	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
600745.XSHG	闻泰科技	1996-08-28	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
601231.XSHG	环旭电子	2012-02-20	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
603327.XSHG	福蓉科技	2019-05-23	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
603380.XSHG	易德龙	2017-06-22	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
603629.XSHG	利通电子	2018-12-24	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
603633.XSHG	徕木股份	2016-11-17	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
603890.XSHG	春秋电子	2017-12-12	2200-01-01	801080	电子I	801085	电子制造II	850852	电子零部件制造III
000521.XSHE	长虹美菱	1993-10-18	2200-01-01	801110	家用电器I	801111	白色家电II	851111	冰箱III
000921.XSHE	海信家电	1999-07-13	2200-01-01	801110	家用电器I	801111	白色家电II	851111	冰箱III
002668.XSHE	奥马电器	2012-04-16	2200-01-01	801110	家用电器I	801111	白色家电II	851111	冰箱III
600336.XSHG	澳柯玛	2000-12-29	2200-01-01	801110	家用电器I	801111	白色家电II	851111	冰箱III
600690.XSHG	海尔智家	1993-11-19	2200-01-01	801110	家用电器I	801111	白色家电II	851111	冰箱III
000333.XSHE	美的集团	2013-09-18	2200-01-01	801110	家用电器I	801111	白色家电II	851112	空调III
000651.XSHE	格力电器	1996-11-18	2200-01-01	801110	家用电器I	801111	白色家电II	851112	空调III
300249.XSHE	依米康	2011-08-03	2200-01-01	801110	家用电器I	801111	白色家电II	851112	空调III
600854.XSHG	春兰股份	1994-04-25	2200-01-01	801110	家用电器I	801111	白色家电II	851112	空调III
600983.XSHG	惠而浦	2004-07-27	2200-01-01	801110	家用电器I	801111	白色家电II	851113	洗衣机III
002032.XSHE	苏泊尔	2004-08-17	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002035.XSHE	华帝股份	2004-09-01	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002242.XSHE	九阳股份	2008-05-28	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002403.XSHE	爱仕达	2010-05-11	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002473.XSHE	ST圣莱	2010-09-10	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002508.XSHE	老板电器	2010-11-23	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002543.XSHE	万和电气	2011-01-28	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002614.XSHE	奥佳华	2011-09-09	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002677.XSHE	浙江美大	2012-05-25	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002705.XSHE	新宝股份	2014-01-21	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002723.XSHE	金莱特	2014-01-29	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002759.XSHE	天际股份	2015-05-28	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
002959.XSHE	小熊电器	2019-08-23	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
300247.XSHE	融捷健康	2011-07-29	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
300272.XSHE	开能健康	2011-11-02	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
300824.XSHE	北鼎股份	2020-06-19	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
603355.XSHG	莱克电气	2015-05-13	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
603551.XSHG	奥普家居	2020-01-15	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
603579.XSHG	荣泰健康	2017-01-11	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
603868.XSHG	飞科电器	2016-04-18	2200-01-01	801110	家用电器I	801111	白色家电II	851114	小家电III
000404.XSHE	长虹华意	1996-06-19	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
002011.XSHE	盾安环境	2004-07-05	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
002050.XSHE	三花智控	2005-06-07	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
002290.XSHE	ST中科创	2009-09-03	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
002418.XSHE	*ST康盛	2010-06-01	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
002676.XSHE	顺威股份	2012-05-25	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
002860.XSHE	星帅尔	2017-04-12	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
300160.XSHE	秀强股份	2011-01-13	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
300217.XSHE	东方电热	2011-05-18	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
300342.XSHE	天银机电	2012-07-26	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
300403.XSHE	汉宇集团	2014-10-30	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
300475.XSHE	聚隆科技	2015-06-10	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
600619.XSHG	海立股份	1992-11-13	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
603366.XSHG	日出东方	2012-05-21	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
603519.XSHG	立霸股份	2015-03-19	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
603578.XSHG	三星新材	2017-03-06	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
603657.XSHG	春光科技	2018-07-30	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
603677.XSHG	奇精机械	2017-02-06	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
603726.XSHG	朗迪集团	2016-04-21	2200-01-01	801110	家用电器I	801111	白色家电II	851115	家电零部件III
000016.XSHE	深康佳A	1992-03-27	2200-01-01	801110	家用电器I	801112	视听器材II	851121	彩电III
002420.XSHE	ST毅昌	2010-06-01	2200-01-01	801110	家用电器I	801112	视听器材II	851121	彩电III
002429.XSHE	兆驰股份	2010-06-10	2200-01-01	801110	家用电器I	801112	视听器材II	851121	彩电III
600060.XSHG	海信视像	1997-04-22	2200-01-01	801110	家用电器I	801112	视听器材II	851121	彩电III
600839.XSHG	四川长虹	1994-03-11	2200-01-01	801110	家用电器I	801112	视听器材II	851121	彩电III
603996.XSHG	*ST中新	2015-12-22	2200-01-01	801110	家用电器I	801112	视听器材II	851121	彩电III
000801.XSHE	四川九洲	1998-05-06	2200-01-01	801110	家用电器I	801112	视听器材II	851122	其它视听器材III
000810.XSHE	创维数字	1998-06-02	2200-01-01	801110	家用电器I	801112	视听器材II	851122	其它视听器材III
002052.XSHE	*ST同洲	2006-06-27	2200-01-01	801110	家用电器I	801112	视听器材II	851122	其它视听器材III
002519.XSHE	银河电子	2010-12-07	2200-01-01	801110	家用电器I	801112	视听器材II	851122	其它视听器材III
002848.XSHE	高斯贝尔	2017-02-13	2200-01-01	801110	家用电器I	801112	视听器材II	851122	其它视听器材III
000568.XSHE	泸州老窖	1994-05-09	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
000596.XSHE	古井贡酒	1996-09-27	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
000799.XSHE	酒鬼酒	1997-07-18	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
000858.XSHE	五粮液	1998-04-27	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
000860.XSHE	顺鑫农业	1998-11-04	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
002304.XSHE	洋河股份	2009-11-06	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600197.XSHG	伊力特	1999-09-16	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600199.XSHG	金种子酒	1998-08-12	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600519.XSHG	贵州茅台	2001-08-27	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600559.XSHG	老白干酒	2002-10-29	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600702.XSHG	舍得酒业	1996-05-24	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600779.XSHG	水井坊	1996-12-06	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
600809.XSHG	山西汾酒	1994-01-06	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
603198.XSHG	迎驾贡酒	2015-05-28	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
603369.XSHG	今世缘	2014-07-03	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
603589.XSHG	口子窖	2015-06-29	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
603919.XSHG	金徽酒	2016-03-10	2200-01-01	801120	食品饮料I	801123	饮料制造II	851231	白酒III
000729.XSHE	燕京啤酒	1997-07-16	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
000752.XSHE	*ST西发	1997-06-25	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
000929.XSHE	兰州黄河	1999-06-23	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
002461.XSHE	珠江啤酒	2010-08-18	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
600132.XSHG	重庆啤酒	1997-10-30	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
600573.XSHG	惠泉啤酒	2003-02-26	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
600600.XSHG	青岛啤酒	1993-08-27	2200-01-01	801120	食品饮料I	801123	饮料制造II	851232	啤酒III
002568.XSHE	百润股份	2011-03-25	2200-01-01	801120	食品饮料I	801123	饮料制造II	851233	其他酒类III
002646.XSHE	青青稞酒	2011-12-22	2200-01-01	801120	食品饮料I	801123	饮料制造II	851233	其他酒类III
600238.XSHG	ST椰岛	2000-01-20	2200-01-01	801120	食品饮料I	801123	饮料制造II	851233	其他酒类III
000848.XSHE	承德露露	1997-11-13	2200-01-01	801120	食品饮料I	801123	饮料制造II	851234	软饮料III
600189.XSHG	吉林森工	1998-10-07	2200-01-01	801120	食品饮料I	801123	饮料制造II	851234	软饮料III
600300.XSHG	维维股份	2000-06-30	2200-01-01	801120	食品饮料I	801123	饮料制造II	851234	软饮料III
603156.XSHG	养元饮品	2018-02-12	2200-01-01	801120	食品饮料I	801123	饮料制造II	851234	软饮料III
603711.XSHG	香飘飘	2017-11-30	2200-01-01	801120	食品饮料I	801123	饮料制造II	851234	软饮料III
000869.XSHE	张裕A	2000-10-26	2200-01-01	801120	食品饮料I	801123	饮料制造II	851235	葡萄酒III
600084.XSHG	ST中葡	1997-07-11	2200-01-01	801120	食品饮料I	801123	饮料制造II	851235	葡萄酒III
600365.XSHG	通葡股份	2001-01-15	2200-01-01	801120	食品饮料I	801123	饮料制造II	851235	葡萄酒III
600543.XSHG	莫高股份	2004-03-24	2200-01-01	801120	食品饮料I	801123	饮料制造II	851235	葡萄酒III
603779.XSHG	ST威龙	2016-05-16	2200-01-01	801120	食品饮料I	801123	饮料制造II	851235	葡萄酒III
600059.XSHG	古越龙山	1997-05-16	2200-01-01	801120	食品饮料I	801123	饮料制造II	851236	黄酒III
600616.XSHG	金枫酒业	1992-09-29	2200-01-01	801120	食品饮料I	801123	饮料制造II	851236	黄酒III
601579.XSHG	会稽山	2014-08-25	2200-01-01	801120	食品饮料I	801123	饮料制造II	851236	黄酒III
000895.XSHE	双汇发展	1998-12-10	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
002330.XSHE	得利斯	2010-01-06	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
002515.XSHE	金字火腿	2010-12-03	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
002695.XSHE	煌上煌	2012-09-05	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
002726.XSHE	龙大肉食	2014-06-26	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
002840.XSHE	华统股份	2017-01-10	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
600073.XSHG	上海梅林	1997-07-04	2200-01-01	801120	食品饮料I	801124	食品加工II	851241	肉制品III
002495.XSHE	佳隆股份	2010-11-02	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
002650.XSHE	ST加加	2012-01-06	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
600186.XSHG	莲花健康	1998-08-25	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
600305.XSHG	恒顺醋业	2001-02-06	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
600866.XSHG	星湖科技	1994-08-18	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
600872.XSHG	中炬高新	1995-01-24	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
603027.XSHG	千禾味业	2016-03-07	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
603288.XSHG	海天味业	2014-02-11	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
603317.XSHG	天味食品	2019-04-16	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
603696.XSHG	安记食品	2015-12-09	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
603755.XSHG	日辰股份	2019-08-28	2200-01-01	801120	食品饮料I	801124	食品加工II	851242	调味发酵品III
002329.XSHE	皇氏集团	2010-01-06	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
002570.XSHE	贝因美	2011-04-12	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
002732.XSHE	燕塘乳业	2014-12-05	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
002770.XSHE	ST科迪	2015-06-30	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
002910.XSHE	庄园牧场	2017-10-31	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
002946.XSHE	新乳业	2019-01-25	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
600419.XSHG	天润乳业	2001-06-28	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
600429.XSHG	三元股份	2003-09-15	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
600597.XSHG	光明乳业	2002-08-28	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
600882.XSHG	妙可蓝多	1995-12-06	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
600887.XSHG	伊利股份	1996-03-12	2200-01-01	801120	食品饮料I	801124	食品加工II	851243	乳品III
000639.XSHE	西王食品	1996-11-26	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
000716.XSHE	黑芝麻	1997-04-18	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002216.XSHE	三全食品	2008-02-20	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002481.XSHE	双塔食品	2010-09-21	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002507.XSHE	涪陵榨菜	2010-11-23	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002557.XSHE	洽洽食品	2011-03-02	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002582.XSHE	好想你	2011-05-20	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002661.XSHE	克明面业	2012-03-16	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002702.XSHE	海欣食品	2012-10-11	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002719.XSHE	*ST麦趣	2014-01-28	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002820.XSHE	桂发祥	2016-11-18	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002847.XSHE	盐津铺子	2017-02-08	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002956.XSHE	西麦食品	2019-06-19	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002991.XSHE	甘源食品	2020-07-31	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
300146.XSHE	汤臣倍健	2010-12-15	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
300741.XSHE	华宝股份	2018-03-01	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
300783.XSHE	三只松鼠	2019-07-12	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
300791.XSHE	仙乐健康	2019-09-25	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
300858.XSHE	科拓生物	2020-07-27	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603020.XSHG	爱普股份	2015-03-25	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603043.XSHG	广州酒家	2017-06-27	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603345.XSHG	安井食品	2017-02-22	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603517.XSHG	绝味食品	2017-03-17	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603536.XSHG	惠发食品	2017-06-13	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603697.XSHG	有友食品	2019-05-08	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603719.XSHG	良品铺子	2020-02-24	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603777.XSHG	来伊份	2016-10-12	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603866.XSHG	桃李面包	2015-12-22	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
603886.XSHG	元祖股份	2016-12-28	2200-01-01	801120	食品饮料I	801124	食品加工II	851244	食品综合III
002193.XSHE	如意集团	2007-12-07	2200-01-01	801130	纺织服装I	801131	纺织制造II	851311	毛纺III
600220.XSHG	江苏阳光	1999-09-27	2200-01-01	801130	纺织服装I	801131	纺织制造II	851311	毛纺III
600689.XSHG	上海三毛	1993-11-08	2200-01-01	801130	纺织服装I	801131	纺织制造II	851311	毛纺III
603889.XSHG	新澳股份	2014-12-31	2200-01-01	801130	纺织服装I	801131	纺织制造II	851311	毛纺III
000726.XSHE	鲁泰A	2000-12-25	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
000850.XSHE	华茂股份	1998-10-07	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
002042.XSHE	华孚时尚	2005-04-27	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
002083.XSHE	孚日股份	2006-11-24	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
002087.XSHE	新野纺织	2006-11-30	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
002394.XSHE	联发股份	2010-04-23	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
600493.XSHG	凤竹纺织	2004-04-21	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
601339.XSHG	百隆东方	2012-06-12	2200-01-01	801130	纺织服装I	801131	纺织制造II	851312	棉纺III
002404.XSHE	嘉欣丝绸	2010-05-11	2200-01-01	801130	纺织服装I	801131	纺织制造II	851313	丝绸III
