	code	name
1	801010	农林牧渔
2	801020	采掘
3	801030	化工
4	801040	钢铁
5	801050	有色金属
6	801080	电子
7	801110	家用电器
8	801120	食品饮料
9	801130	纺织服装
10	801140	轻工制造
11	801150	医药生物
12	801160	公用事业
13	801170	交通运输
14	801180	房地产
15	801200	商业贸易
16	801210	休闲服务
17	801230	综合
18	801710	建筑材料
19	801720	建筑装饰
20	801730	电气设备
21	801740	国防军工
22	801750	计算机
23	801760	传媒
24	801770	通信
25	801780	银行
26	801790	非银金融
27	801880	汽车
28	801890	机械设备
