sw1_code	sw1_name	holding_money	rate
801020	采掘	1382.65	1.83%
801030	化工	2718.04	3.59%
801050	有色金属	1234.01	1.63%
801080	电子	7781.38	10.28%
801110	家用电器	5098.17	6.73%
801120	食品饮料	10933.98	14.44%
801140	轻工制造	2060.15	2.72%
801150	医药生物	5209.62	6.88%
801180	房地产	2324.29	3.07%
801200	商业贸易	427.36	0.56%
801720	建筑装饰	1823.67	2.41%
801740	国防军工	439.93	0.58%
801750	计算机	4371.64	5.77%
801760	传媒	1078.26	1.42%
801780	银行	23230.84	30.68%
801790	非银金融	2885.01	3.81%
801880	汽车	439.93	0.58%
801890	机械设备	2292.08	3.03%
