sw1_code	sw1_name	holding_money	rate
801050	有色金属	1510.11	1.57%
801080	电子	8579.82	8.9%
801110	家用电器	8755.0	9.08%
801120	食品饮料	14956.76	15.52%
801150	医药生物	1454.75	1.51%
801160	公用事业	4848.32	5.03%
801170	交通运输	5133.35	5.33%
801180	房地产	4082.44	4.24%
801710	建筑材料	5358.28	5.56%
801720	建筑装饰	990.93	1.03%
801740	国防军工	1976.87	2.05%
801750	计算机	3265.36	3.39%
801760	传媒	11045.36	11.46%
801770	通信	2753.03	2.86%
801780	银行	15047.35	15.61%
801790	非银金融	4703.43	4.88%
801890	机械设备	1930.65	2.0%
