sw1_code	sw1_name	holding_money	rate
801020	采掘	1385.3	1.83%
801030	化工	2714.36	3.58%
801050	有色金属	1232.75	1.63%
801080	电子	7783.45	10.28%
801110	家用电器	5098.17	6.73%
801120	食品饮料	10943.79	14.45%
801140	轻工制造	2059.36	2.72%
801150	医药生物	5212.69	6.88%
801180	房地产	2319.5	3.06%
801200	商业贸易	427.36	0.56%
801720	建筑装饰	1819.92	2.4%
801740	国防军工	439.93	0.58%
801750	计算机	4370.25	5.77%
801760	传媒	1077.16	1.42%
801780	银行	23235.36	30.68%
801790	非银金融	2884.4	3.81%
801880	汽车	439.93	0.58%
801890	机械设备	2294.31	3.03%
