sw1_code	sw1_name	weight
801010	农林牧渔I	3.43
801020	采掘I	1.091
801030	化工I	7.46
801040	钢铁I	2.509
801050	有色金属I	4.178
801080	电子I	7.909
801110	家用电器I	0.95
801120	食品饮料I	2.885
801130	纺织服装I	0.353
801140	轻工制造I	2.082
801150	医药生物I	15.229
801160	公用事业I	3.072
801170	交通运输I	2.856
801180	房地产I	3.681
801200	商业贸易I	3.214
801210	休闲服务I	0.501
801230	综合I	1.323
801710	建筑材料I	1.762
801720	建筑装饰I	1.237
801730	电气设备I	4.259
801740	国防军工I	2.932
801750	计算机I	7.212
801760	传媒I	5.266
801770	通信I	2.141
801780	银行I	1.164
801790	非银金融I	4.412
801880	汽车I	3.594
801890	机械设备I	3.308
