sw1_code	sw1_name	weight
801010	农林牧渔	25.303
801030	化工	1.917
801120	食品饮料	65.488
801140	轻工制造	0.697
801150	医药生物	0.106
801200	商业贸易	3.125
801210	休闲服务	0.089
801230	综合	0.575
801730	电气设备	2.6
801760	传媒	0.094
