code	display_name	date	weight	sw1_code	sw1_name
000889.XSHE	中嘉博创	2020-08-14	0.052	801770	通信I
000900.XSHE	现代投资	2020-08-14	0.077	801170	交通运输I
000901.XSHE	航天科技	2020-08-14	0.118	801890	机械设备I
000902.XSHE	新洋丰	2020-08-14	0.141	801030	化工I
000903.XSHE	云内动力	2020-08-14	0.181	801880	汽车I
000905.XSHE	厦门港务	2020-08-14	0.034	801170	交通运输I
000910.XSHE	大亚圣象	2020-08-14	0.103	801140	轻工制造I
000913.XSHE	钱江摩托	2020-08-14	0.094	801880	汽车I
000915.XSHE	山大华特	2020-08-14	0.11	801150	医药生物I
000917.XSHE	电广传媒	2020-08-14	0.154	801760	传媒I
000918.XSHE	嘉凯城	2020-08-14	0.065	801180	房地产I
000921.XSHE	海信家电	2020-08-14	0.094	801110	家用电器I
000923.XSHE	河钢资源	2020-08-14	0.034	801020	采掘I
000925.XSHE	众合科技	2020-08-14	0.057	801890	机械设备I
000926.XSHE	福星股份	2020-08-14	0.081	801180	房地产I
000928.XSHE	中钢国际	2020-08-14	0.052	801720	建筑装饰I
000931.XSHE	中关村	2020-08-14	0.095	801150	医药生物I
000933.XSHE	神火股份	2020-08-14	0.113	801050	有色金属I
000935.XSHE	四川双马	2020-08-14	0.065	801710	建筑材料I
000936.XSHE	华西股份	2020-08-14	0.11	801030	化工I
000950.XSHE	重药控股	2020-08-14	0.064	801150	医药生物I
000951.XSHE	中国重汽	2020-08-14	0.185	801880	汽车I
000957.XSHE	中通客车	2020-08-14	0.064	801880	汽车I
000958.XSHE	东方能源	2020-08-14	0.066	801160	公用事业I
000965.XSHE	天保基建	2020-08-14	0.038	801180	房地产I
000968.XSHE	蓝焰控股	2020-08-14	0.06	801020	采掘I
000969.XSHE	安泰科技	2020-08-14	0.1	801050	有色金属I
000973.XSHE	佛塑科技	2020-08-14	0.073	801030	化工I
000976.XSHE	华铁股份	2020-08-14	0.122	801890	机械设备I
000989.XSHE	九芝堂	2020-08-14	0.083	801150	医药生物I
000996.XSHE	中国中期	2020-08-14	0.064	801880	汽车I
001696.XSHE	宗申动力	2020-08-14	0.126	801880	汽车I
001896.XSHE	豫能控股	2020-08-14	0.035	801160	公用事业I
002015.XSHE	协鑫能科	2020-08-14	0.042	801160	公用事业I
002016.XSHE	世荣兆业	2020-08-14	0.033	801180	房地产I
002017.XSHE	东信和平	2020-08-14	0.06	801770	通信I
002020.XSHE	京新药业	2020-08-14	0.164	801150	医药生物I
002022.XSHE	科华生物	2020-08-14	0.182	801150	医药生物I
002023.XSHE	海特高新	2020-08-14	0.181	801740	国防军工I
002025.XSHE	航天电器	2020-08-14	0.222	801740	国防军工I
002029.XSHE	七匹狼	2020-08-14	0.057	801130	纺织服装I
002031.XSHE	巨轮智能	2020-08-14	0.067	801890	机械设备I
002034.XSHE	旺能环境	2020-08-14	0.079	801160	公用事业I
002035.XSHE	华帝股份	2020-08-14	0.136	801110	家用电器I
002036.XSHE	联创电子	2020-08-14	0.164	801080	电子I
002041.XSHE	登海种业	2020-08-14	0.103	801010	农林牧渔I
002042.XSHE	华孚时尚	2020-08-14	0.097	801130	纺织服装I
002043.XSHE	兔宝宝	2020-08-14	0.106	801710	建筑材料I
002047.XSHE	宝鹰股份	2020-08-14	0.077	801720	建筑装饰I
002055.XSHE	得润电子	2020-08-14	0.108	801080	电子I
002060.XSHE	粤水电	2020-08-14	0.053	801720	建筑装饰I
002061.XSHE	浙江交科	2020-08-14	0.058	801720	建筑装饰I
002063.XSHE	远光软件	2020-08-14	0.172	801750	计算机I
002065.XSHE	东华软件	2020-08-14	0.429	801750	计算机I
002067.XSHE	景兴纸业	2020-08-14	0.07	801140	轻工制造I
002073.XSHE	软控股份	2020-08-14	0.079	801890	机械设备I
002079.XSHE	苏州固锝	2020-08-14	0.121	801080	电子I
002083.XSHE	孚日股份	2020-08-14	0.074	801130	纺织服装I
002091.XSHE	江苏国泰	2020-08-14	0.118	801200	商业贸易I
002095.XSHE	生意宝	2020-08-14	0.049	801760	传媒I
002097.XSHE	山河智能	2020-08-14	0.101	801890	机械设备I
002099.XSHE	海翔药业	2020-08-14	0.15	801150	医药生物I
002100.XSHE	天康生物	2020-08-14	0.252	801010	农林牧渔I
002101.XSHE	广东鸿图	2020-08-14	0.036	801880	汽车I
002104.XSHE	恒宝股份	2020-08-14	0.115	801770	通信I
002106.XSHE	莱宝高科	2020-08-14	0.16	801080	电子I
