sw1_code	sw1_name	weight
801020	采掘	2.667
801030	化工	3.556
801040	钢铁	1.103
801050	有色金属	0.651
801080	电子	1.766
801110	家用电器	1.556
801120	食品饮料	0.223
801130	纺织服装	0.172
801160	公用事业	5.633
801170	交通运输	2.518
801180	房地产	11.145
801200	商业贸易	0.364
801710	建筑材料	2.898
801720	建筑装饰	5.902
801730	电气设备	0.56
801770	通信	0.891
801780	银行	35.282
801790	非银金融	16.835
801880	汽车	4.931
801890	机械设备	1.353
