code	display_name	weight	sw1_code	sw1_name
000019.XSHE	深粮控股	0.116	801200	商业贸易
000505.XSHE	京粮控股	0.11	801010	农林牧渔
000523.XSHE	广州浪奇	0.084	801030	化工
000529.XSHE	广弘控股	0.094	801760	传媒
000568.XSHE	泸州老窖	3.199	801120	食品饮料
000596.XSHE	古井贡酒	0.907	801120	食品饮料
000639.XSHE	西王食品	0.136	801120	食品饮料
000713.XSHE	丰乐种业	0.11	801010	农林牧渔
000729.XSHE	燕京啤酒	0.4	801120	食品饮料
000735.XSHE	罗牛山	0.369	801010	农林牧渔
000799.XSHE	酒鬼酒	0.578	801120	食品饮料
000848.XSHE	承德露露	0.197	801120	食品饮料
000858.XSHE	五粮液	10.781	801120	食品饮料
000860.XSHE	顺鑫农业	1.189	801120	食品饮料
000869.XSHE	张裕A	0.171	801120	食品饮料
000876.XSHE	新希望	2.538	801010	农林牧渔
000895.XSHE	双汇发展	2.014	801120	食品饮料
000930.XSHE	中粮科技	0.331	801010	农林牧渔
000998.XSHE	隆平高科	0.607	801010	农林牧渔
002041.XSHE	登海种业	0.202	801010	农林牧渔
002094.XSHE	青岛金王	0.079	801030	化工
002100.XSHE	天康生物	0.494	801010	农林牧渔
002124.XSHE	天邦股份	0.562	801010	农林牧渔
002157.XSHE	正邦科技	0.999	801010	农林牧渔
002216.XSHE	三全食品	0.41	801120	食品饮料
002234.XSHE	民和股份	0.157	801010	农林牧渔
002264.XSHE	新华都	0.082	801200	商业贸易
002299.XSHE	圣农发展	0.661	801010	农林牧渔
002304.XSHE	洋河股份	3.014	801120	食品饮料
002311.XSHE	海大集团	1.868	801010	农林牧渔
002329.XSHE	皇氏集团	0.11	801120	食品饮料
002330.XSHE	得利斯	0.06	801120	食品饮料
002385.XSHE	大北农	1.174	801010	农林牧渔
002458.XSHE	益生股份	0.341	801010	农林牧渔
002461.XSHE	珠江啤酒	0.152	801120	食品饮料
002481.XSHE	双塔食品	0.436	801120	食品饮料
002505.XSHE	大康农业	0.249	801200	商业贸易
002507.XSHE	涪陵榨菜	0.806	801120	食品饮料
002511.XSHE	中顺洁柔	0.591	801140	轻工制造
002515.XSHE	金字火腿	0.203	801120	食品饮料
002548.XSHE	金新农	0.14	801010	农林牧渔
002557.XSHE	洽洽食品	0.652	801120	食品饮料
002567.XSHE	唐人神	0.223	801010	农林牧渔
002568.XSHE	百润股份	0.523	801120	食品饮料
002582.XSHE	好想你	0.171	801120	食品饮料
002646.XSHE	青青稞酒	0.071	801120	食品饮料
002661.XSHE	克明面业	0.18	801120	食品饮料
002695.XSHE	煌上煌	0.203	801120	食品饮料
002697.XSHE	红旗连锁	0.304	801200	商业贸易
002714.XSHE	牧原股份	5.077	801010	农林牧渔
002726.XSHE	龙大肉食	0.167	801120	食品饮料
002732.XSHE	燕塘乳业	0.081	801120	食品饮料
002746.XSHE	仙坛股份	0.127	801010	农林牧渔
002840.XSHE	华统股份	0.107	801120	食品饮料
002847.XSHE	盐津铺子	0.15	801120	食品饮料
002852.XSHE	道道全	0.092	801010	农林牧渔
002891.XSHE	中宠股份	0.119	801010	农林牧渔
002946.XSHE	新乳业	0.112	801120	食品饮料
002956.XSHE	西麦食品	0.091	801120	食品饮料
300087.XSHE	荃银高科	0.192	801010	农林牧渔
300094.XSHE	国联水产	0.097	801010	农林牧渔
300132.XSHE	青松股份	0.278	801030	化工
300138.XSHE	晨光生物	0.259	801010	农林牧渔
300146.XSHE	汤臣倍健	0.733	801120	食品饮料
300189.XSHE	神农科技	0.164	801010	农林牧渔
300498.XSHE	温氏股份	3.923	801010	农林牧渔
300511.XSHE	雪榕生物	0.164	801010	农林牧渔
300673.XSHE	佩蒂股份	0.082	801010	农林牧渔
300740.XSHE	御家汇	0.172	801030	化工
300741.XSHE	华宝股份	0.253	801120	食品饮料
300761.XSHE	立华股份	0.187	801010	农林牧渔
300765.XSHE	新诺威	0.106	801150	医药生物
300791.XSHE	仙乐健康	0.133	801120	食品饮料
600059.XSHG	古越龙山	0.173	801120	食品饮料
600073.XSHG	上海梅林	0.261	801120	食品饮料
600108.XSHG	亚盛集团	0.207	801010	农林牧渔
600127.XSHG	金健米业	0.234	801010	农林牧渔
600132.XSHG	重庆啤酒	0.652	801120	食品饮料
600197.XSHG	伊力特	0.157	801120	食品饮料
600199.XSHG	金种子酒	0.103	801120	食品饮料
600251.XSHG	冠农股份	0.124	801010	农林牧渔
600298.XSHG	安琪酵母	1.206	801010	农林牧渔
600300.XSHG	维维股份	0.155	801120	食品饮料
600305.XSHG	恒顺醋业	0.448	801120	食品饮料
600315.XSHG	上海家化	0.578	801030	化工
600438.XSHG	通威股份	2.6	801730	电气设备
600439.XSHG	瑞贝卡	0.106	801140	轻工制造
600467.XSHG	好当家	0.108	801010	农林牧渔
600519.XSHG	贵州茅台	9.502	801120	食品饮料
600559.XSHG	老白干酒	0.3	801120	食品饮料
600597.XSHG	光明乳业	0.427	801120	食品饮料
600598.XSHG	北大荒	0.505	801010	农林牧渔
600600.XSHG	青岛啤酒	1.069	801120	食品饮料
600702.XSHG	舍得酒业	0.323	801120	食品饮料
600737.XSHG	中粮糖业	0.327	801010	农林牧渔
600779.XSHG	水井坊	0.461	801120	食品饮料
600809.XSHG	山西汾酒	1.746	801120	食品饮料
600811.XSHG	东方集团	0.575	801230	综合
600827.XSHG	百联股份	0.591	801200	商业贸易
600866.XSHG	星湖科技	0.093	801120	食品饮料
600872.XSHG	中炬高新	1.45	801120	食品饮料
600873.XSHG	梅花生物	0.477	801010	农林牧渔
600882.XSHG	妙可蓝多	0.514	801120	食品饮料
