sw1_code	sw1_name	weight
801010	农林牧渔	2.246
801020	采掘	1.409
801030	化工	7.954
801040	钢铁	0.342
801050	有色金属	4.252
801080	电子	9.977
801110	家用电器	1.4
801120	食品饮料	4.145
801130	纺织服装	0.93
801140	轻工制造	3.13
801150	医药生物	11.476
801160	公用事业	4.18
801170	交通运输	2.09
801180	房地产	3.121
801200	商业贸易	1.278
801210	休闲服务	0.311
801230	综合	0.424
801710	建筑材料	2.344
801720	建筑装饰	2.969
801730	电气设备	4.197
801740	国防军工	3.415
801750	计算机	9.972
801760	传媒	4.395
801770	通信	3.336
801780	银行	0.113
801790	非银金融	1.267
801880	汽车	2.76
801890	机械设备	6.575
