code	display_name	date	weight	sw1_code	sw1_name
000002.XSHE	万科A	2020-08-14	3.494	801180	房地产I
000069.XSHE	华侨城A	2020-08-14	0.562	801180	房地产I
000100.XSHE	TCL科技	2020-08-14	1.619	801080	电子I
000157.XSHE	中联重科	2020-08-14	0.819	801890	机械设备I
000338.XSHE	潍柴动力	2020-08-14	1.484	801880	汽车I
000425.XSHE	徐工机械	2020-08-14	0.571	801890	机械设备I
000656.XSHE	金科股份	2020-08-14	0.355	801180	房地产I
000671.XSHE	阳光城	2020-08-14	0.217	801180	房地产I
000708.XSHE	中信特钢	2020-08-14	0.131	801040	钢铁I
000709.XSHE	河钢股份	2020-08-14	0.183	801040	钢铁I
000776.XSHE	广发证券	2020-08-14	0.883	801790	非银金融I
000961.XSHE	中南建设	2020-08-14	0.335	801180	房地产I
001979.XSHE	招商蛇口	2020-08-14	1.033	801180	房地产I
002142.XSHE	宁波银行	2020-08-14	1.664	801780	银行I
002146.XSHE	荣盛发展	2020-08-14	0.273	801180	房地产I
002601.XSHE	龙蟒佰利	2020-08-14	0.458	801030	化工I
002736.XSHE	国信证券	2020-08-14	0.621	801790	非银金融I
600000.XSHG	浦发银行	2020-08-14	2.326	801780	银行I
600011.XSHG	华能国际	2020-08-14	0.395	801160	公用事业I
600015.XSHG	华夏银行	2020-08-14	0.749	801780	银行I
600016.XSHG	民生银行	2020-08-14	2.254	801780	银行I
600019.XSHG	宝钢股份	2020-08-14	0.838	801040	钢铁I
600025.XSHG	华能水电	2020-08-14	0.131	801160	公用事业I
600027.XSHG	华电国际	2020-08-14	0.226	801160	公用事业I
600028.XSHG	中国石化	2020-08-14	1.023	801030	化工I
600029.XSHG	南方航空	2020-08-14	0.451	801170	交通运输I
600036.XSHG	招商银行	2020-08-14	6.864	801780	银行I
600048.XSHG	保利地产	2020-08-14	2.136	801180	房地产I
600050.XSHG	中国联通	2020-08-14	0.904	801770	通信I
600066.XSHG	宇通客车	2020-08-14	0.346	801880	汽车I
600068.XSHG	葛洲坝	2020-08-14	0.352	801720	建筑装饰I
600089.XSHG	特变电工	2020-08-14	0.62	801730	电气设备I
600104.XSHG	上汽集团	2020-08-14	1.219	801880	汽车I
600170.XSHG	上海建工	2020-08-14	0.266	801720	建筑装饰I
600177.XSHG	雅戈尔	2020-08-14	0.354	801180	房地产I
600188.XSHG	兖州煤业	2020-08-14	0.156	801020	采掘I
600208.XSHG	新湖中宝	2020-08-14	0.28	801180	房地产I
600219.XSHG	南山铝业	2020-08-14	0.325	801050	有色金属I
600221.XSHG	海航控股	2020-08-14	0.348	801170	交通运输I
600297.XSHG	广汇汽车	2020-08-14	0.302	801880	汽车I
600309.XSHG	万华化学	2020-08-14	2.029	801030	化工I
600340.XSHG	华夏幸福	2020-08-14	0.52	801180	房地产I
600362.XSHG	江西铜业	2020-08-14	0.321	801050	有色金属I
600383.XSHG	金地集团	2020-08-14	0.604	801180	房地产I
600390.XSHG	五矿资本	2020-08-14	0.335	801790	非银金融I
600398.XSHG	海澜之家	2020-08-14	0.154	801130	纺织服装I
600585.XSHG	海螺水泥	2020-08-14	2.819	801710	建筑材料I
600606.XSHG	绿地控股	2020-08-14	0.57	801180	房地产I
600655.XSHG	豫园股份	2020-08-14	0.305	801200	商业贸易I
600660.XSHG	福耀玻璃	2020-08-14	0.654	801880	汽车I
600674.XSHG	川投能源	2020-08-14	0.241	801160	公用事业I
600690.XSHG	海尔智家	2020-08-14	1.303	801110	家用电器I
600741.XSHG	华域汽车	2020-08-14	0.633	801880	汽车I
600795.XSHG	国电电力	2020-08-14	0.46	801160	公用事业I
600886.XSHG	国投电力	2020-08-14	0.447	801160	公用事业I
600900.XSHG	长江电力	2020-08-14	3.091	801160	公用事业I
600919.XSHG	江苏银行	2020-08-14	1.068	801780	银行I
600926.XSHG	杭州银行	2020-08-14	0.428	801780	银行I
601006.XSHG	大秦铁路	2020-08-14	0.738	801170	交通运输I
601009.XSHG	南京银行	2020-08-14	0.891	801780	银行I
601077.XSHG	渝农商行	2020-08-14	0.113	801780	银行I
601088.XSHG	中国神华	2020-08-14	0.967	801020	采掘I
601111.XSHG	中国国航	2020-08-14	0.39	801170	交通运输I
601117.XSHG	中国化学	2020-08-14	0.272	801720	建筑装饰I
601155.XSHG	新城控股	2020-08-14	0.587	801180	房地产I
601166.XSHG	兴业银行	2020-08-14	3.733	801780	银行I
601169.XSHG	北京银行	2020-08-14	1.367	801780	银行I
601186.XSHG	中国铁建	2020-08-14	0.773	801720	建筑装饰I
601211.XSHG	国泰君安	2020-08-14	1.594	801790	非银金融I
601225.XSHG	陕西煤业	2020-08-14	0.619	801020	采掘I
601229.XSHG	上海银行	2020-08-14	1.575	801780	银行I
601288.XSHG	农业银行	2020-08-14	1.775	801780	银行I
601298.XSHG	青岛港	2020-08-14	0.087	801170	交通运输I
601318.XSHG	中国平安	2020-08-14	9.561	801790	非银金融I
601328.XSHG	交通银行	2020-08-14	2.501	801780	银行I
601336.XSHG	新华保险	2020-08-14	0.843	801790	非银金融I
601377.XSHG	兴业证券	2020-08-14	0.734	801790	非银金融I
601390.XSHG	中国中铁	2020-08-14	0.868	801720	建筑装饰I
601398.XSHG	工商银行	2020-08-14	3.324	801780	银行I
601577.XSHG	长沙银行	2020-08-14	0.168	801780	银行I
601601.XSHG	中国太保	2020-08-14	1.535	801790	非银金融I
601618.XSHG	中国中冶	2020-08-14	0.382	801720	建筑装饰I
601633.XSHG	长城汽车	2020-08-14	0.31	801880	汽车I
601668.XSHG	中国建筑	2020-08-14	2.018	801720	建筑装饰I
601669.XSHG	中国电建	2020-08-14	0.616	801720	建筑装饰I
601788.XSHG	光大证券	2020-08-14	0.897	801790	非银金融I
601800.XSHG	中国交建	2020-08-14	0.532	801720	建筑装饰I
601818.XSHG	光大银行	2020-08-14	1.151	801780	银行I
601828.XSHG	美凯龙	2020-08-14	0.083	801200	商业贸易I
601838.XSHG	成都银行	2020-08-14	0.344	801780	银行I
601857.XSHG	中国石油	2020-08-14	0.827	801020	采掘I
601898.XSHG	中煤能源	2020-08-14	0.145	801020	采掘I
601919.XSHG	中远海控	2020-08-14	0.401	801170	交通运输I
601939.XSHG	建设银行	2020-08-14	0.786	801780	银行I
601985.XSHG	中国核电	2020-08-14	0.517	801160	公用事业I
601988.XSHG	中国银行	2020-08-14	1.342	801780	银行I
601992.XSHG	金隅集团	2020-08-14	0.206	801710	建筑材料I
601997.XSHG	贵阳银行	2020-08-14	0.329	801780	银行I
601998.XSHG	中信银行	2020-08-14	0.302	801780	银行I
603156.XSHG	养元饮品	2020-08-14	0.244	801120	食品饮料I
