sw1_code	sw1_name	weight
801010	农林牧渔	2.285
801020	采掘	1.465
801030	化工	7.798
801040	钢铁	0.339
801050	有色金属	4.421
801080	电子	9.987
801110	家用电器	1.377
801120	食品饮料	3.633
801130	纺织服装	0.93
801140	轻工制造	3.054
801150	医药生物	12.082
801160	公用事业	4.194
801170	交通运输	2.053
801180	房地产	3.22
801200	商业贸易	1.528
801210	休闲服务	0.314
801230	综合	0.432
801710	建筑材料	2.411
801720	建筑装饰	2.825
801730	电气设备	4.063
801740	国防军工	3.255
801750	计算机	9.916
801760	传媒	4.566
801770	通信	3.445
801780	银行	0.111
801790	非银金融	1.234
801880	汽车	2.732
801890	机械设备	6.316
