code	display_name	date	weight	sw1_code	sw1_name
300001.XSHE	特锐德	2020-08-16	0.4626	801730	电气设备
300003.XSHE	乐普医疗	2020-08-16	1.8342	801150	医药生物
300009.XSHE	安科生物	2020-08-16	0.7206	801150	医药生物
300010.XSHE	豆神教育	2020-08-16	0.6227	801750	计算机
300012.XSHE	华测检测	2020-08-16	1.2172	801230	综合
300014.XSHE	亿纬锂能	2020-08-16	2.7782	801730	电气设备
300015.XSHE	爱尔眼科	2020-08-16	2.9418	801150	医药生物
300017.XSHE	网宿科技	2020-08-16	0.6492	801770	通信
300024.XSHE	机器人	2020-08-16	0.713	801890	机械设备
300026.XSHE	红日药业	2020-08-16	0.3603	801150	医药生物
300033.XSHE	同花顺	2020-08-16	1.1263	801750	计算机
300038.XSHE	数知科技	2020-08-16	0.2489	801760	传媒
300058.XSHE	蓝色光标	2020-08-16	0.645	801760	传媒
300059.XSHE	东方财富	2020-08-16	6.1645	801790	非银金融
300070.XSHE	碧水源	2020-08-16	0.5237	801160	公用事业
300072.XSHE	三聚环保	2020-08-16	0.2761	801030	化工
300073.XSHE	当升科技	2020-08-16	0.4708	801030	化工
300078.XSHE	思创医惠	2020-08-16	0.3109	801080	电子
300088.XSHE	长信科技	2020-08-16	0.9597	801080	电子
300098.XSHE	高新兴	2020-08-16	0.2899	801770	通信
300113.XSHE	顺网科技	2020-08-16	0.4057	801760	传媒
300115.XSHE	长盈精密	2020-08-16	0.516	801080	电子
300122.XSHE	智飞生物	2020-08-16	3.9037	801150	医药生物
300124.XSHE	汇川技术	2020-08-16	2.1455	801730	电气设备
300133.XSHE	华策影视	2020-08-16	0.2816	801760	传媒
300136.XSHE	信维通信	2020-08-16	1.7168	801080	电子
300142.XSHE	沃森生物	2020-08-16	4.5038	801150	医药生物
300144.XSHE	宋城演艺	2020-08-16	0.9922	801210	休闲服务
300146.XSHE	汤臣倍健	2020-08-16	0.7286	801120	食品饮料
300166.XSHE	东方国信	2020-08-16	0.4165	801750	计算机
300168.XSHE	万达信息	2020-08-16	0.8378	801750	计算机
300180.XSHE	华峰超纤	2020-08-16	0.2504	801030	化工
300182.XSHE	捷成股份	2020-08-16	0.3503	801760	传媒
300188.XSHE	美亚柏科	2020-08-16	0.3436	801750	计算机
300207.XSHE	欣旺达	2020-08-16	0.8851	801080	电子
300212.XSHE	易华录	2020-08-16	0.644	801750	计算机
300223.XSHE	北京君正	2020-08-16	0.4209	801080	电子
300226.XSHE	上海钢联	2020-08-16	0.4233	801760	传媒
300244.XSHE	迪安诊断	2020-08-16	0.6096	801150	医药生物
300251.XSHE	光线传媒	2020-08-16	0.5238	801760	传媒
300253.XSHE	卫宁健康	2020-08-16	1.4455	801750	计算机
300271.XSHE	华宇软件	2020-08-16	0.682	801750	计算机
300274.XSHE	阳光电源	2020-08-16	0.76	801730	电气设备
300285.XSHE	国瓷材料	2020-08-16	0.9039	801030	化工
300294.XSHE	博雅生物	2020-08-16	0.4721	801150	医药生物
300296.XSHE	利亚德	2020-08-16	0.4838	801080	电子
300308.XSHE	中际旭创	2020-08-16	0.6145	801770	通信
300315.XSHE	掌趣科技	2020-08-16	0.9049	801760	传媒
300316.XSHE	晶盛机电	2020-08-16	0.5734	801730	电气设备
300324.XSHE	旋极信息	2020-08-16	0.3094	801750	计算机
300347.XSHE	泰格医药	2020-08-16	2.1225	801150	医药生物
300357.XSHE	我武生物	2020-08-16	0.6549	801150	医药生物
300369.XSHE	绿盟科技	2020-08-16	0.3854	801750	计算机
300383.XSHE	光环新网	2020-08-16	1.0877	801770	通信
300408.XSHE	三环集团	2020-08-16	1.1623	801080	电子
300413.XSHE	芒果超媒	2020-08-16	1.4975	801760	传媒
300418.XSHE	昆仑万维	2020-08-16	0.5285	801760	传媒
300433.XSHE	蓝思科技	2020-08-16	1.456	801080	电子
300450.XSHE	先导智能	2020-08-16	0.8948	801890	机械设备
300451.XSHE	创业慧康	2020-08-16	0.4559	801750	计算机
300454.XSHE	深信服	2020-08-16	1.3772	801750	计算机
300457.XSHE	赢合科技	2020-08-16	0.4629	801890	机械设备
300459.XSHE	金科文化	2020-08-16	0.208	801760	传媒
300463.XSHE	迈克生物	2020-08-16	0.7017	801150	医药生物
300474.XSHE	景嘉微	2020-08-16	0.3176	801740	国防军工
300476.XSHE	胜宏科技	2020-08-16	0.3913	801080	电子
300482.XSHE	万孚生物	2020-08-16	0.6512	801150	医药生物
300496.XSHE	中科创达	2020-08-16	1.0113	801750	计算机
300498.XSHE	温氏股份	2020-08-16	4.4266	801010	农林牧渔
300529.XSHE	健帆生物	2020-08-16	1.1117	801150	医药生物
300558.XSHE	贝达药业	2020-08-16	1.0572	801150	医药生物
300567.XSHE	精测电子	2020-08-16	0.3893	801890	机械设备
300595.XSHE	欧普康视	2020-08-16	0.6668	801150	医药生物
300601.XSHE	康泰生物	2020-08-16	2.5443	801150	医药生物
300616.XSHE	尚品宅配	2020-08-16	0.1665	801140	轻工制造
300618.XSHE	寒锐钴业	2020-08-16	0.4027	801050	有色金属
300628.XSHE	亿联网络	2020-08-16	0.6151	801770	通信
300630.XSHE	普利制药	2020-08-16	0.3648	801150	医药生物
300633.XSHE	开立医疗	2020-08-16	0.2092	801150	医药生物
300661.XSHE	圣邦股份	2020-08-16	1.2335	801080	电子
300666.XSHE	江丰电子	2020-08-16	0.2411	801080	电子
300674.XSHE	宇信科技	2020-08-16	0.4303	801750	计算机
300676.XSHE	华大基因	2020-08-16	1.0545	801150	医药生物
300682.XSHE	朗新科技	2020-08-16	0.1454	801750	计算机
300699.XSHE	光威复材	2020-08-16	0.7922	801030	化工
300724.XSHE	捷佳伟创	2020-08-16	0.5714	801890	机械设备
300741.XSHE	华宝股份	2020-08-16	0.2614	801120	食品饮料
300747.XSHE	锐科激光	2020-08-16	0.3338	801080	电子
300748.XSHE	金力永磁	2020-08-16	0.2238	801050	有色金属
